"","T.cell","Monocyte","Nk.cell","B.cell"
"chr1-270001-275000",-0.442966258300829,0.773182810538936,-0.222578693603514,-0.178276334603794
"chr1-1095001-1100000",0.92010576520262,-0.865872062532202,-0.5035871748915,-0.428474435817895
"chr1-1995001-2000000",-0.731757893182521,0.76603621283429,-0.218666317102561,-0.146123189447068
"chr1-2840001-2845000",0.87076817667299,-0.894994139038739,-0.0843690900680866,-0.614223964181586
"chr1-2890001-2895000",0.803574238635359,-0.501799899725645,-0.166349823284077,-0.23290443361157
"chr1-2950001-2955000",-0.802468467313039,-0.0608849031478367,-0.261525114838724,0.795901060267735
"chr1-3030001-3035000",0.916502713903952,-0.876510530821766,-0.261428900497733,-0.250973052979784
"chr1-3170001-3175000",-0.675558728769593,0.767346206429658,-0.0675626946635343,-0.28638093053285
"chr1-3370001-3375000",-0.059946027226542,-0.358532599490046,0.773026507672653,-0.141432301478573
"chr1-3380001-3385000",-0.193731092346652,-0.180995214444477,0.79102045305831,-0.183588861249305
"chr1-4005001-4010000",-0.828018496783195,-0.00696834094630735,-0.343921318801061,0.766994061236963
"chr1-4025001-4030000",-0.796237736679953,-0.744629913789881,-0.345390487253445,0.922130633136597
"chr1-4030001-4035000",-0.245988663789759,-0.10367363244281,0.0181942419472479,0.781635957307466
"chr1-4035001-4040000",-0.133810498914272,-0.22646321234982,0.00122097355196604,0.806081819787416
"chr1-4045001-4050000",-0.241922770911552,-0.472023579212849,-0.131153900210777,0.793052946997376
"chr1-4635001-4640000",-0.580440334984071,0.80372553680016,-0.220184753964119,-0.127021816618905
"chr1-4735001-4740000",-0.83690399754437,0.855981870809298,-0.174119020805647,-0.239384989831909
"chr1-4795001-4800000",-0.820952185774834,-0.0696579286044023,-0.143557350181766,0.79784667823822
"chr1-5325001-5330000",0.861821716385025,-0.74961249555417,-0.0702365090265047,-0.265878585001812
"chr1-5385001-5390000",0.843760285065088,-0.910498014207668,-0.0279049081333462,-0.584314911338373
"chr1-5665001-5670000",0.767780107075223,-0.891775220859467,0.0480862709875397,-0.401982102633364
"chr1-6290001-6295000",-0.352762133874852,-0.392168878673418,0.800146460753098,-0.244253855157579
